en,nl,description,file,hash
%1$s on %2$s,%1$s op %2$s,,site/modules/Relay/Relay.module.php,9b8d8a252955b2de195c7fa72b7353cb
%d action,%d-actie,,site/modules/Relay/Relay.module.php,52e7ef0d09080ecf1c1cb9588f5a3346
%d action in this view,%d-actie in deze weergave,,site/modules/Relay/Relay.module.php,edbb5b851dc7c7fce80a4ae79765fee1
%d actions,%d-acties,,site/modules/Relay/Relay.module.php,b702ff44d2b2006bf4888afc027e438c
%d actions in this view,%d-acties in deze weergave,,site/modules/Relay/Relay.module.php,72a81c2788218d02e54496f5ce5bf4e8
%d active lease,%d actieve lease,,site/modules/Relay/Relay.module.php,45997a700e47aac122a2064ff6b91e91
%d active leases,%d actieve leases,,site/modules/Relay/Relay.module.php,03bbefe07fc6b64dc91467fe2d693ba0
%d demo action loaded.,%d demo actie geladen.,,site/modules/Relay/Relay.module.php,02d8eec5f9e44fd4ae56063d0cf25009
%d demo actions loaded.,%d demo acties geladen.,,site/modules/Relay/Relay.module.php,4c230d7f1e07dc373ab85519552dec77
%d failed job,%d mislukt,,site/modules/Relay/Relay.module.php,44def872a6aad957747b74cd20867980
%d failed jobs,%d mislukte taken,,site/modules/Relay/Relay.module.php,a0ddafd3319505d73b0891530663f509
%d session-only demo action. No schedule jobs or page states are changed.,%d sessie-alleen demo-actie. Er worden geen agenda-taken of pagina-statussen gewijzigd.,,site/modules/Relay/Relay.module.php,b9df1d9878c0a28107069b73d2dcff88
%d session-only demo actions. No schedule jobs or page states are changed.,%d sessie-alleen demo-acties. Er worden geen agenda- of pagina-statussen gewijzigd.,,site/modules/Relay/Relay.module.php,03ebae3d39cd1696b24b493d9db2d710
%d template,%d-sjabloon,,site/modules/Relay/Relay.module.php,2e97680673e9f48756601bd5672b0d45
%d templates,%d-sjablonen,,site/modules/Relay/Relay.module.php,f78cb52b393842a378dcbee7bd241ffe
%d upcoming action,%d komende actie,,site/modules/Relay/Relay.module.php,2861365b8287f80b6b8c2d6fe56bd63e
%d upcoming actions,%d komende acties,,site/modules/Relay/Relay.module.php,b718159aca4e0e94ed8db2f051112718
%s (not installed),%s (niet geïnstalleerd),,site/modules/Relay/Relay.module.php,1307e7441c89b0828007900bfd3f2171
3 days,3 dagen,,site/modules/Relay/Relay.module.php,45fe0d3293152fa29cf10ef8a3c1871d
3-day calendar,3-daagse kalender,,site/modules/Relay/Relay.module.php,38e6af5f4884e28e44bb23d5f6af6677
Absolute path or a path relative to the ProcessWire root. Relay only generates the command; it never writes the system crontab.,Absolute pad of een pad ten opzichte van de ProcessWire root. Relay genereert alleen het commando; het schrijft nooit het systeem crontab.,,site/modules/Relay/Relay.module.php,220d13541eac933c9acfb78f07514d20
Access,Toegang,,site/modules/Relay/Relay.module.php,bf733d8a933c1601697f364223fc7ecb
Action,Actie,,site/modules/Relay/Relay.module.php,004bf6c9a40003140292e97330236c53
Actions,Acties,,site/modules/Relay/Relay.module.php,06df33001c1d7187fdd81ea1f5b277aa
Actions in current view by status,Acties in huidige weergave naar status,,site/modules/Relay/Relay.module.php,af64477cfee328730682df824f4f4527
Active,Actief,,site/modules/Relay/Relay.module.php,4d3d769b812b6faa6b76e1a8abaece2d
Adds /relay-api/v1/ routes with session/CSRF or an explicitly rotated Bearer credential. CORS remains disabled.,Voegt /relay-api/v1/ routes toe met sessie/CSRF of een expliciet gedraaide Bearer credential. CORS blijft uitgeschakeld.,,site/modules/Relay/Relay.module.php,9b843d3fcc73feed1090d1cc97f93994
Adds a compact action/clock marker and local-time tooltip for users with relay-view.,Voegt een compacte actie/klok marker en lokale-tijd tooltip voor gebruikers met relay-view toe.,,site/modules/Relay/Relay.module.php,663e5ab2d43fd1eede404e7d7623588b
Adds a subtle weekend background in date-based calendar views. Disable it for a uniform grid.,Voegt een subtiele weekendachtergrond toe in agendaweergaven op basis van datum. Schakel het uit voor een uniform raster.,,site/modules/Relay/Relay.module.php,75d3e7a7bfcdde3525309af275c77048
AI planning proposals,Voorstellen voor de planning van de AI,,site/modules/Relay/Relay.module.php,ce74f68e998d966d107b0e413109aafd
"Alerts contain metadata, not editorial content","Waarschuwingen bevatten metagegevens, geen redactionele inhoud",,site/modules/Relay/Relay.module.php,e2ff31dc656705e2b2d89110a4dac14c
All actions,Alle acties,,site/modules/Relay/Relay.module.php,2701bbdc7ebed3bba6e85534149c85b1
All editable templates,Alle bewerkbare sjablonen,,site/modules/Relay/Relay.module.php,c4665cd5c7c6178de30de7f3c8056ba4
Allowed templates,Toegestaan sjablonen,,site/modules/Relay/Relay.module.php,309be34a512a2a051e6e43bb6da151b9
All statuses,Alle statussen,,site/modules/Relay/Relay.module.php,96e3d398260724e0a83da53a2e9f20e7
All templates,Alle templates,,site/modules/Relay/Relay.module.php,d4e3a3afd7f0073d8b3967cf2995edc9
An action fails,Een actie mislukt,,site/modules/Relay/Relay.module.php,c9987dc7822b8c86232ea7dac2a53950
An action is cancelled,Een actie wordt geannuleerd,,site/modules/Relay/Relay.module.php,d73a22447bf29c5c8b6ec10edb2ddf15
An action is rescheduled,Een actie wordt herschreven,,site/modules/Relay/Relay.module.php,de25faabb04cfecc9d35e31628b8fe76
An action is scheduled,Er is een actie gepland,,site/modules/Relay/Relay.module.php,5c5c92a301f9adb4c09fd18daf4b2830
An editor can request an editable publication-time and note proposal. Nothing is scheduled and no page is changed automatically.,Een editor kan een bewerkbare publicatie-tijd en notitie voorstel aanvragen. Er is niets gepland en er wordt geen pagina automatisch gewijzigd.,,site/modules/Relay/Relay.module.php,bf9d1f92b299ff2027159bb4ad01ee1c
Any action completes,Elke actie wordt voltooid,,site/modules/Relay/Relay.module.php,4c1a63ec3b633e25dff8c7c0d954fdf8
A page is successfully published,Een pagina wordt succesvol gepubliceerd,,site/modules/Relay/Relay.module.php,f4fa1bf941f484b0acd75613e7fde479
API,API,,site/modules/Relay/Relay.module.php,db974238714ca8de634a7ce1d083a14f
API access,Toegang tot API,,site/modules/Relay/Relay.module.php,333157a2df341277b8e5bf1ac7b9afd0
API keys and SMTP passwords remain in the selected WireMail provider. Relay sends operational page and job metadata only; a delivery failure never blocks a job state change.,API-sleutels en SMTP wachtwoorden blijven in de geselecteerde WireMail provider. Relay stuurt alleen operationele pagina en taakmetadata; een leveringsfout blokkeert nooit een baanstatusverandering.,,site/modules/Relay/Relay.module.php,335db0f60c195441bf768ffc9a695a42
Apply filters,Filters toepassen,,site/modules/Relay/Relay.module.php,79ee641715155ec7d121815215f2b70c
"A request triggers the check, not the clock","Een verzoek activeert de cheque, niet de klok",,site/modules/Relay/Relay.module.php,8b8b2dee506dea84460e65c8dac45ce2
A runtime credential is active; the saved token is not used.,Een runtime credential is actief; het opgeslagen token wordt niet gebruikt.,,site/modules/Relay/Relay.module.php,c4956cadc1053597ded6bac69c666e50
"A session-only demo sandbox. Create, reschedule, cancel, filter, and run test actions without writing schedule jobs or changing pages. Real jobs are hidden and workers are paused while enabled.","Een sessie-only demo sandbox. Maak, herschik, annuleer, filter en voer testacties uit zonder het schrijven van werkschema's of het wijzigen van pagina's. Echte taken worden verborgen en werknemers worden gepauzeerd terwijl ze ingeschakeld zijn.",,site/modules/Relay/Relay.module.php,e021fd243bfab1b74a65440ec0649a84
Assistance,Bijstand,,site/modules/Relay/Relay.module.php,1741ec6ed69cf571adac9eeb641c4f87
Authentication does not bypass permissions,Authenticatie wordt niet omzeild,,site/modules/Relay/Relay.module.php,3105bd97f2e5366f5c658323e62a7d61
Available,Beschikbaar,,site/modules/Relay/Relay.module.php,78945de8de090e90045d299651a68a9b
Batch limit,Partijlimiet,,site/modules/Relay/Relay.module.php,c434994f87d80496315aabb424d301ac
Bearer token,Bearer token,,site/modules/Relay/Relay.module.php,25d95961a44037e555767a429cb7864e
Bounded filtered job list.,Gefilterde takenlijst.,,site/modules/Relay/Relay.module.php,d28acff2ebaac2f03b246ad07ab890cb
Bounded filtered jobs.,Gefilterde banen.,,site/modules/Relay/Relay.module.php,a63e0c300eda884def8ac90cee995aee
"Bound execution, retry failed work, and configure the optional traffic-driven fallback.","Bound uitvoering, opnieuw proberen mislukt werk, en configureren van de optionele verkeersgestuurde terugval.",,site/modules/Relay/Relay.module.php,1287ef14325adcd0c658131d23c85733
Browse pages,Bladeren door pagina's,,site/modules/Relay/Relay.module.php,5e0b73696a62c55958548373ca1b8685
Build a server-ready crontab line from the detected paths and worker limits. This page never installs or executes it.,Bouw een server-ready crontab-regel vanaf de gedetecteerde paden en werkerlimieten. Deze pagina installeert of voert het nooit uit.,,site/modules/Relay/Relay.module.php,c6716b8ef9880688b036ee21e2b24786
"Build the exact production worker command to review, copy, and install in the server scheduler.","Bouw het exacte productie-werknemer commando om te beoordelen, kopiëren en installeren in de server scheduler.",,site/modules/Relay/Relay.module.php,3dc3e866979d8821bbbaf6c1593d8b46
Calendar,Agenda,,site/modules/Relay/Relay.module.php,8ff922bbcd8ad41cdfc48d3c5163b2ab
Calendar is clear,Agenda is leeg,,site/modules/Relay/Relay.module.php,97c3f628453fd7631afa4ff83e6cf353
Calendar range,Agendabereik,,site/modules/Relay/Relay.module.php,1421ce9923c5e5d1c1b17300282da3d1
Cancel,Annuleren,,site/modules/Relay/Relay.module.php,ea4788705e6873b424c65e91c2846b19
Cancel action,Actie annuleren,,site/modules/Relay/Relay.module.php,1bf87e44da33943a3baad59edd51f4a0
Cancel a pending action.,Annuleer een lopende actie.,,site/modules/Relay/Relay.module.php,b6d129c814ed58a2a5f019b6dbbf3cb5
Cancel editing,Bewerken annuleren,,site/modules/Relay/Relay.module.php,12c110ad1b37cf8db33fa1246ec4143d
Cancelled,Geannuleerd,,site/modules/Relay/Relay.module.php,a149e85a44aeec9140e92733d9ed694e
Cancel pending job.,Afzeggen in afwachting van werk.,,site/modules/Relay/Relay.module.php,8bdd42c19fd7e9a544c6f8b007ab0bde
Cancel this scheduled action?,Deze geplande actie annuleren?,,site/modules/Relay/Relay.module.php,a5ff052f361c36edf80cdd32fbd0d468
Cards are grouped by status; open any card for full details and actions.,Kaarten worden gegroepeerd op status; open elke kaart voor volledige details en acties.,,site/modules/Relay/Relay.module.php,49a239f405913b1094ea1cbab8dce2b7
Channel and capability manifest.,Kanaal en capaciteit manifest.,,site/modules/Relay/Relay.module.php,d424fe59c2ccbde6fc73ac9b8d3d9993
Channels and stable capabilities.,Kanalen en stabiele mogelijkheden.,,site/modules/Relay/Relay.module.php,a0b7a50f9cffaa9bcbe43579ecb44fa0
Check paths,Paden controleren,,site/modules/Relay/Relay.module.php,46380281d1978ca571499940ac460734
"Choose an interface to see what it does, whether it is ready, what it can change, and where to configure it.","Kies een interface om te zien wat het doet, of het klaar is, wat het kan veranderen en waar het moet worden geconfigureerd.",,site/modules/Relay/Relay.module.php,792b6c4ecd8ede98fda36a2d900e5909
Choose a schedule action first.,Kies eerst een schemaactie.,,site/modules/Relay/Relay.module.php,b5ca6bee4a1a4df268843a5ed568baea
Choose Kanban column,Kies de kolom Kanban,,site/modules/Relay/Relay.module.php,a75a612ebcfc9a2c29b980d76c23dfc7
Choose month and year,Kies maand en jaar,,site/modules/Relay/Relay.module.php,a7175c2ee9b6981892ad0d0cb0770a3c
Choose one or more page templates. Leave empty to allow every editable non-admin page.,Kies een of meer paginasjablonen. Laat leeg om elke bewerkbare niet-admin pagina toe te staan.,,site/modules/Relay/Relay.module.php,62f53ddacf90ac1a1a282667dd84f6ba
Choose publish or unpublish.,Kies publiceren of unpublish.,,site/modules/Relay/Relay.module.php,52a5e2ae21b418ac0b637e80b695e59b
Choose the roles whose users may be selected by someone with relay-run-as permission.,Kies de rollen waarvan de gebruikers kunnen worden geselecteerd door iemand met relay-run-as-permissie.,,site/modules/Relay/Relay.module.php,cc5c4664914c5717b118af4ffbb7b656
Choose timeline date,Kies datum voor tijdlijn,,site/modules/Relay/Relay.module.php,58c26170f40ee134863a4e2265318259
Choose up to eight scalar fields. Only these bounded values are included after an editor requests a proposal. Use title alone for the smallest disclosure.,Kies maximaal acht scalaire velden. Alleen deze begrensde waarden worden opgenomen nadat een editor een voorstel heeft aangevraagd. Gebruik alleen de titel voor de kleinste openbaarmaking.,,site/modules/Relay/Relay.module.php,9caa28121a764be018236b2647157e0b
"Choose what should happen to the page, when it should happen, and who should perform it.","Kies wat er met de pagina moet gebeuren, wanneer het moet gebeuren, en wie het moet uitvoeren.",,site/modules/Relay/Relay.module.php,03029f0acc3df7ea5b91d1fcf3694bd7
Choose which pages and editorial identities Relay may operate on.,Kies op welke pagina's en redactionele identiteiten Relay kan werken.,,site/modules/Relay/Relay.module.php,6b448a4ff5e5058375e4118a2718db83
Clear all demo actions from this session?,Alle demo acties van deze sessie wissen?,,site/modules/Relay/Relay.module.php,0afe20513d4c6a3d9f609d4983d57823
Clear demo data,Demogegevens wissen,,site/modules/Relay/Relay.module.php,a13c9b268dc6b84aa629f0d3974fb7a6
Clear filter,Filter wissen,,site/modules/Relay/Relay.module.php,f53b6f6ba5a4c2c190041fe59d8926a0
Clear filters,Filters wissen,,site/modules/Relay/Relay.module.php,0b275442d6556cff30b75f37f1918899
CLI,CLI,,site/modules/Relay/Relay.module.php,91af5705f16502125e8b2187e64202c0
CLI + LazyCron,CLI + LazyCron,,site/modules/Relay/Relay.module.php,29cf269ee8cf09d63ec883b3f88f9b1b
CLI worker,CLI werknemer,,site/modules/Relay/Relay.module.php,0450b38d94a0f09d42a2e35a093d82ac
Close details,Details sluiten,,site/modules/Relay/Relay.module.php,d1a5096b0b613e40eea77aa1dd350342
Comma-separated administrator addresses.,Comma-afgescheiden administratoradressen.,,site/modules/Relay/Relay.module.php,83feeffce6708ac3652653cce1ef4372
Command,Commando,,site/modules/Relay/Relay.module.php,ee97be03cb04119af45014d815621ce1
Command-line access,Toegang tot de commandoregel,,site/modules/Relay/Relay.module.php,1ae7429170bfbb819a1fafac758dbaff
Commands,Commando's,,site/modules/Relay/Relay.module.php,c441ee50c88f6e5e3a7c69fc69dad8b8
Compare pages across a two-week planning board and spot competing publication changes.,Vergelijk pagina's over een twee weken durende planning en spot concurrerende publicatie wijzigingen.,,site/modules/Relay/Relay.module.php,36416f7fba3b68afaa8caf609a6b402d
"Compare three months at a glance, then select any date to inspect it in detail.",Vergelijk drie maanden in één oogopslag en selecteer vervolgens elke datum om het in detail te inspecteren.,,site/modules/Relay/Relay.module.php,44fb40bb578f67863cc572f8ccc6837f
Completed,Voltooid,,site/modules/Relay/Relay.module.php,07ca5050e697392c9ed47e6453f1453f
Completed action,Voltooid actie,,site/modules/Relay/Relay.module.php,bded5a028477d97fee35867fc5306474
Configuration snapshot,Configuratie snapshot,,site/modules/Relay/Relay.module.php,a0723ddce45680734891027186cc3da4
Configured,Geconfigureerd,,site/modules/Relay/Relay.module.php,61aa63eb3ac1c3408640463ee5fe8aa3
"Configure editorial defaults, module boundaries, and worker safety. Planning tools remain in the Relay workspace.","Configureer redactionele standaards, modulegrenzen en werknemersveiligheid. Planningstools blijven in de Relay werkruimte.",,site/modules/Relay/Relay.module.php,840ee1e2378e3ae14ab5a2612a6cb829
Connect a trusted application with a ProcessWire session or one scoped Bearer token. Every request still acts as the assigned user.,Sluit een vertrouwde toepassing aan met een ProcessWire-sessie of één Bearer-token met een scope. Elk verzoek fungeert nog steeds als de toegewezen gebruiker.,,site/modules/Relay/Relay.module.php,832dbb4732956012611aaa8902c9020d
Connected,Verbonden,,site/modules/Relay/Relay.module.php,2ec0d16e4ca169baedb9b2d50ec5c6d7
Connect trusted internal tools through the PHP API or REST while keeping ProcessWire permissions in control.,Verbind vertrouwde interne tools via de PHP API of REST terwijl u ProcessWire-permissies in controle houdt.,,site/modules/Relay/Relay.module.php,c68fa890692512c3064dfde4ea5e0374
"Controls the weekday order and range boundaries in month, week, quarter, and timeline views.","Controleert de weekdagorder en bereik grenzen in maand, week, kwartaal, en tijdlijn weergaven.",,site/modules/Relay/Relay.module.php,a35093bd21860077027b3bed0a40b3b2
Copied,Gekopiëerd,,site/modules/Relay/Relay.module.php,a588b1abc58b8b758c4b34b69b9e10bb
Copy failed,Kopiëren mislukt,,site/modules/Relay/Relay.module.php,5496a81d145ee0c172e6c616cabbf89c
Copy line,Regel kopiëren,,site/modules/Relay/Relay.module.php,1b318b7364fe667573f0b08a40bf3504
Copy now,Nu kopiëren,,site/modules/Relay/Relay.module.php,68b3e342561fc3fd7a4b776bce7b32de
Copy publication URL,Publication URL kopiëren,,site/modules/Relay/Relay.module.php,de31ad66e8f4c571db77ca043fc64151
Could not copy the publication URL.,Kon de publicatie-URL niet kopiëren.,,site/modules/Relay/Relay.module.php,7de6cdd0cea64636b71bb7daf2eb4330
Create a bot with @BotFather. TeleWire module settings are not used; Relay owns this credential and a private runtime override takes precedence.,Maak een bot met @BotFather. De instellingen van de TeleWire module worden niet gebruikt; Relay bezit deze credential en een prive runtime override heeft voorrang.,,site/modules/Relay/Relay.module.php,1e104bb8cac50f1203e2b0082cc35378
Create action/window from JSON.,Actie/venster aanmaken van JSON.,,site/modules/Relay/Relay.module.php,e809c38a148988d6868a2e26132820d3
Create an action or publication window.,Maak een actie of publicatievenster aan.,,site/modules/Relay/Relay.module.php,6724697fdf125552ad446dbd15a9006b
Credential boundary,Credential grens,,site/modules/Relay/Relay.module.php,0068e8594ce82519d038f615bd036630
Credentials,In het kader van de procedure voor het plaatsen van overheidsopdrachten voor leveringen van diensten van de Commissie,,site/modules/Relay/Relay.module.php,2daf1cb573c2c61422faf64610cf9402
Credentials remain encrypted in Squad. Leave blank to use its active default provider and model.,De gegevens blijven versleuteld in Squad. Laat leeg om de actieve standaardprovider en het model te gebruiken.,,site/modules/Relay/Relay.module.php,4fe66c555255afc3d6071252d53ae094
Cron paths may contain only ordinary path characters and must not contain line breaks.,Cron paden mogen alleen gewone pad tekens bevatten en mogen geen regel breaks bevatten.,,site/modules/Relay/Relay.module.php,e18eb6890a7d414858d490f91d52ed60
Crontab,Crontab,,site/modules/Relay/Relay.module.php,7ac05e39c9ac2dca8d85eb369276b5f9
Crontab command builder,Crontab commandobouwer,,site/modules/Relay/Relay.module.php,436b64e2d82ccd300bdd7083fcb96bb7
Crontab interval,Crontab-interval,,site/modules/Relay/Relay.module.php,413239b7ad45b126284d48d2d302a307
Crontab log path,Crontab logpad,,site/modules/Relay/Relay.module.php,2a0e6f286d79fee4d193ded7d101565a
Crontab PHP binary,Crontab PHP binair,,site/modules/Relay/Relay.module.php,298c1b65b0849b7b8d4608bdeb172f14
Current runtime,Huidige looptijd,,site/modules/Relay/Relay.module.php,1ff985a7372fb2007f693065be4ec93f
Current state,Huidige stand,,site/modules/Relay/Relay.module.php,48358648336d501e2336d5360a559533
Date,Datum,,site/modules/Relay/Relay.module.php,44749712dbec183e983dcd78a7736c41
Date and time,Datum en tijd,,site/modules/Relay/Relay.module.php,2b0b7c9cbd6d6e9fa6b99aa06e828673
Dates are entered in this timezone and stored as UTC. Existing jobs retain their timezone snapshot.,Data worden ingevoerd in deze tijdzone en opgeslagen als UTC. Bestaande taken behouden hun tijdzone snapshot.,,site/modules/Relay/Relay.module.php,ef3b9053e482cbbbcb81b70404c333b8
Default planning view,Standaard planningsweergave,,site/modules/Relay/Relay.module.php,7bfd5d7d9aa3cd647746fdd0b268ea2d
Default scheduling time,Standaard planningstijd,,site/modules/Relay/Relay.module.php,5139b5fa243889383ebcf2eb4e4b6ff3
Defaults editors see when they plan and review publication changes.,Standaard editors zien wanneer ze wijzigingen in publicatie plannen en bekijken.,,site/modules/Relay/Relay.module.php,866a71238cd697abfcdfe659271e4924
Default time %s,Standaardtijd %s,,site/modules/Relay/Relay.module.php,39d05a37d73e961af3d143549681cbf4
Default workspace,Standaard werkblad,,site/modules/Relay/Relay.module.php,200b2afc357800a45e6f94aff0e41378
Delivery,Levering,,site/modules/Relay/Relay.module.php,065ab3a28ca4f16f55f103adc7d0226f
Demo: action currently being processed,Demo: momenteel aan de gang zijnde actie,,site/modules/Relay/Relay.module.php,4e977e78254673a0518e9506f0e3b26e
Demo: afternoon editorial release,Demo: namiddag redactionele release,,site/modules/Relay/Relay.module.php,53a7d9e119530324a72233463166c2a1
Demo: article published successfully,Demo: artikel met succes gepubliceerd,,site/modules/Relay/Relay.module.php,c219f7ee8f274c285b2fda9764660d1a
Demo: campaign closed on schedule,Demo: campagne op schema afgesloten,,site/modules/Relay/Relay.module.php,37bb96a328e8c40cffcd48749cf3b0c7
Demo: campaign closing action,Demo: campagne sluiten actie,,site/modules/Relay/Relay.module.php,f066f0c72cf4115df0e3d170591f9e17
Demo: campaign landing page,Demo: pagina over de landing van de campagne,,site/modules/Relay/Relay.module.php,8e385810eed22833bdc5e78b324ec556
Demo: cancelled weekend release,Demo: geannuleerde weekend release,,site/modules/Relay/Relay.module.php,16d5392b56592788fe2acee7e9baf7e0
Demo: due action for testing the worker,Demo: passende actie voor het testen van de werknemer,,site/modules/Relay/Relay.module.php,0abcb64269c52b16d25131c1d6ffab99
Demo: duplicate launch cancelled,Demo: dubbele lancering geannuleerd,,site/modules/Relay/Relay.module.php,382ba1f1057626ca2237b4bfa2705463
Demo: early campaign publication completed,Demo: publicatie van de campagne in het begin voltooid,,site/modules/Relay/Relay.module.php,e3d5f3a32b5421ced92d87f5ffbeceac
Demo: editorial launch was cancelled,Demo: de redactionele lancering is geannuleerd,,site/modules/Relay/Relay.module.php,a01270e1dbfc1e2769918d75edf321c9
Demo: evening feature release,Demo: avond feature release,,site/modules/Relay/Relay.module.php,567f1fb2c94383e790f3418e142baf74
Demo: evening launch cancelled,Demo: avondlancering geannuleerd,,site/modules/Relay/Relay.module.php,01fc1bca507f5108d78708c516c816b4
Demo: expired publication removed,Demo: verlopen publicatie verwijderd,,site/modules/Relay/Relay.module.php,b763e6b4f53c3fd7a9de4f47a0c2114e
Demo: failed action ready for review,Demo: mislukte actie klaar voor herziening,,site/modules/Relay/Relay.module.php,5859cace48df8a80fd1e50d0a44db568
Demo: fortnight editorial milestone,Demo: twee weken redactionele mijlpaal,,site/modules/Relay/Relay.module.php,628d6aee4011ccee88dc1bf6b6c6a870
Demo: future content retirement,Demo: toekomstig pensioen,,site/modules/Relay/Relay.module.php,bdc873844e059ddcae9990287bc292bd
Demo: knowledge-base update,Demo: update van kennisbasis,,site/modules/Relay/Relay.module.php,c48930a7b7c6f8ff23ff055391d425ac
Demo: late editorial release,Demo: late redactionele release,,site/modules/Relay/Relay.module.php,b791b6bcfd612979c4687115f84eb08e
Demo: long-range publication plan,Demo: lange-afstands publicatieplan,,site/modules/Relay/Relay.module.php,400ab62682aa49552e4380713ad93e0a
