en,fi,description,file,hash
%1$s on %2$s,%1$s %2$s:llä,,site/modules/Relay/Relay.module.php,9b8d8a252955b2de195c7fa72b7353cb
%d action,%d-toiminto,,site/modules/Relay/Relay.module.php,52e7ef0d09080ecf1c1cb9588f5a3346
%d action in this view,%d-toiminto tässä näkymässä,,site/modules/Relay/Relay.module.php,edbb5b851dc7c7fce80a4ae79765fee1
%d actions,%d-toiminnot,,site/modules/Relay/Relay.module.php,b702ff44d2b2006bf4888afc027e438c
%d actions in this view,%d-toiminnot tässä näkymässä,,site/modules/Relay/Relay.module.php,72a81c2788218d02e54496f5ce5bf4e8
%d active lease,%d:n aktiivinen vuokrasopimus,,site/modules/Relay/Relay.module.php,45997a700e47aac122a2064ff6b91e91
%d active leases,%d:n aktiiviset vuokrasopimukset,,site/modules/Relay/Relay.module.php,03bbefe07fc6b64dc91467fe2d693ba0
%d demo action loaded.,%d demo-toiminto ladattu.,,site/modules/Relay/Relay.module.php,02d8eec5f9e44fd4ae56063d0cf25009
%d demo actions loaded.,%d demotoiminnot ladattu.,,site/modules/Relay/Relay.module.php,4c230d7f1e07dc373ab85519552dec77
%d failed job,%d epäonnistui,,site/modules/Relay/Relay.module.php,44def872a6aad957747b74cd20867980
%d failed jobs,%d epäonnistui,,site/modules/Relay/Relay.module.php,a0ddafd3319505d73b0891530663f509
%d session-only demo action. No schedule jobs or page states are changed.,%d istuntoon vain demo toiminto. Aikataulutyötä tai sivutilaa ei muuteta.,,site/modules/Relay/Relay.module.php,b9df1d9878c0a28107069b73d2dcff88
%d session-only demo actions. No schedule jobs or page states are changed.,%d-istuin vain demo toimintoja. Aikataulutyötä tai sivutila ei muuteta.,,site/modules/Relay/Relay.module.php,03ebae3d39cd1696b24b493d9db2d710
%d template,%d-malli,,site/modules/Relay/Relay.module.php,2e97680673e9f48756601bd5672b0d45
%d templates,%d-mallit,,site/modules/Relay/Relay.module.php,f78cb52b393842a378dcbee7bd241ffe
%d upcoming action,%d:n tuleva toiminta,,site/modules/Relay/Relay.module.php,2861365b8287f80b6b8c2d6fe56bd63e
%d upcoming actions,%d tulevat toimet,,site/modules/Relay/Relay.module.php,b718159aca4e0e94ed8db2f051112718
%s (not installed),%s (ei asennettu),,site/modules/Relay/Relay.module.php,1307e7441c89b0828007900bfd3f2171
3 days,3 vrk,,site/modules/Relay/Relay.module.php,45fe0d3293152fa29cf10ef8a3c1871d
3-day calendar,Kolmipäiväinen kalenteri,,site/modules/Relay/Relay.module.php,38e6af5f4884e28e44bb23d5f6af6677
Absolute path or a path relative to the ProcessWire root. Relay only generates the command; it never writes the system crontab.,Absoluuttinen polku tai polku suhteessa ProcessWire root. Relay tuottaa vain komennon; se ei koskaan kirjoita järjestelmän crontab.,,site/modules/Relay/Relay.module.php,220d13541eac933c9acfb78f07514d20
Access,Pääsy,,site/modules/Relay/Relay.module.php,bf733d8a933c1601697f364223fc7ecb
Action,Toiminto,,site/modules/Relay/Relay.module.php,004bf6c9a40003140292e97330236c53
Actions,Toimet,,site/modules/Relay/Relay.module.php,06df33001c1d7187fdd81ea1f5b277aa
Actions in current view by status,Nykyiset toimet tilanteen mukaan,,site/modules/Relay/Relay.module.php,af64477cfee328730682df824f4f4527
Active,Aktiivinen,,site/modules/Relay/Relay.module.php,4d3d769b812b6faa6b76e1a8abaece2d
Adds /relay-api/v1/ routes with session/CSRF or an explicitly rotated Bearer credential. CORS remains disabled.,Lisää /relay-api/v1/-reitit istuntoon/CSRF- tai nimenomaisesti ohjattuun Bearer-sertifiointiin. CORS-reitit ovat edelleen pois käytöstä.,,site/modules/Relay/Relay.module.php,9b843d3fcc73feed1090d1cc97f93994
Adds a compact action/clock marker and local-time tooltip for users with relay-view.,Lisää kompaktin toiminta / kello merkki ja paikallisen ajan työkaluvihje käyttäjille relay-view.,,site/modules/Relay/Relay.module.php,663e5ab2d43fd1eede404e7d7623588b
Adds a subtle weekend background in date-based calendar views. Disable it for a uniform grid.,Lisää hienovaraisen viikonlopputaustan päiväyspohjaiseen kalenteriin. Poista se käytöstä yhtenäisestä ruudukosta.,,site/modules/Relay/Relay.module.php,75d3e7a7bfcdde3525309af275c77048
AI planning proposals,Tekoälyn suunnitteluehdotukset,,site/modules/Relay/Relay.module.php,ce74f68e998d966d107b0e413109aafd
"Alerts contain metadata, not editorial content","Hälytykset sisältävät metatietoja, eivät toimituksellista sisältöä",,site/modules/Relay/Relay.module.php,e2ff31dc656705e2b2d89110a4dac14c
All actions,Kaikki toimet,,site/modules/Relay/Relay.module.php,2701bbdc7ebed3bba6e85534149c85b1
All editable templates,Kaikki muokattavat mallit,,site/modules/Relay/Relay.module.php,c4665cd5c7c6178de30de7f3c8056ba4
Allowed templates,Sallitut taulukot,,site/modules/Relay/Relay.module.php,309be34a512a2a051e6e43bb6da151b9
All statuses,Kaikki status,,site/modules/Relay/Relay.module.php,96e3d398260724e0a83da53a2e9f20e7
All templates,Kaikki taulukot,,site/modules/Relay/Relay.module.php,d4e3a3afd7f0073d8b3967cf2995edc9
An action fails,Toimi epäonnistuu,,site/modules/Relay/Relay.module.php,c9987dc7822b8c86232ea7dac2a53950
An action is cancelled,Toimi perutaan,,site/modules/Relay/Relay.module.php,d73a22447bf29c5c8b6ec10edb2ddf15
An action is rescheduled,Toimia siirretään,,site/modules/Relay/Relay.module.php,de25faabb04cfecc9d35e31628b8fe76
