en,de,description,file,hash
%1$s on %2$s,%1$s auf %2$s,,site/modules/Relay/Relay.module.php,9b8d8a252955b2de195c7fa72b7353cb
%d action,%d-Aktion,,site/modules/Relay/Relay.module.php,52e7ef0d09080ecf1c1cb9588f5a3346
%d action in this view,%d-Aktion in dieser Ansicht,,site/modules/Relay/Relay.module.php,edbb5b851dc7c7fce80a4ae79765fee1
%d actions,%d-Aktionen,,site/modules/Relay/Relay.module.php,b702ff44d2b2006bf4888afc027e438c
%d actions in this view,%d-Aktionen in dieser Ansicht,,site/modules/Relay/Relay.module.php,72a81c2788218d02e54496f5ce5bf4e8
%d active lease,%d aktive Lease,,site/modules/Relay/Relay.module.php,45997a700e47aac122a2064ff6b91e91
%d active leases,%d aktive Leasingverträge,,site/modules/Relay/Relay.module.php,03bbefe07fc6b64dc91467fe2d693ba0
%d demo action loaded.,%d Demo-Aktion geladen.,,site/modules/Relay/Relay.module.php,02d8eec5f9e44fd4ae56063d0cf25009
%d demo actions loaded.,%d Demo-Aktionen geladen.,,site/modules/Relay/Relay.module.php,4c230d7f1e07dc373ab85519552dec77
%d failed job,%d Job fehlgeschlagen,,site/modules/Relay/Relay.module.php,44def872a6aad957747b74cd20867980
%d failed jobs,%d fehlgeschlagene Jobs,,site/modules/Relay/Relay.module.php,a0ddafd3319505d73b0891530663f509
%d session-only demo action. No schedule jobs or page states are changed.,%d Demo-Aktion nur für Sitzungen. Es werden keine geplanten Jobs oder Seitenzustände geändert.,,site/modules/Relay/Relay.module.php,b9df1d9878c0a28107069b73d2dcff88
%d session-only demo actions. No schedule jobs or page states are changed.,%d Demo-Aktionen nur für Sitzungen. Es werden keine geplanten Jobs oder Seitenzustände geändert.,,site/modules/Relay/Relay.module.php,03ebae3d39cd1696b24b493d9db2d710
%d template,%d-Vorlage,,site/modules/Relay/Relay.module.php,2e97680673e9f48756601bd5672b0d45
%d templates,%d-Vorlagen,,site/modules/Relay/Relay.module.php,f78cb52b393842a378dcbee7bd241ffe
%d upcoming action,%d bevorstehende Aktion,,site/modules/Relay/Relay.module.php,2861365b8287f80b6b8c2d6fe56bd63e
%d upcoming actions,%d bevorstehende Aktionen,,site/modules/Relay/Relay.module.php,b718159aca4e0e94ed8db2f051112718
%s (not installed),%s (nicht installiert),,site/modules/Relay/Relay.module.php,1307e7441c89b0828007900bfd3f2171
3 days,3 Tage,,site/modules/Relay/Relay.module.php,45fe0d3293152fa29cf10ef8a3c1871d
3-day calendar,3-Tage-Kalender,,site/modules/Relay/Relay.module.php,38e6af5f4884e28e44bb23d5f6af6677
Absolute path or a path relative to the ProcessWire root. Relay only generates the command; it never writes the system crontab.,Absoluter Pfad oder ein Pfad relativ zum ProcessWire-Stamm. Relay generiert nur den Befehl; Es schreibt niemals die System-Crontab.,,site/modules/Relay/Relay.module.php,220d13541eac933c9acfb78f07514d20
Access,Zugang,,site/modules/Relay/Relay.module.php,bf733d8a933c1601697f364223fc7ecb
Action,Aktion,,site/modules/Relay/Relay.module.php,004bf6c9a40003140292e97330236c53
