en,lt,description,file,hash
%1$s on %2$s,"%1$s, %2$s",,site/modules/Relay/Relay.module.php,9b8d8a252955b2de195c7fa72b7353cb
%d action,%d veiksmas,,site/modules/Relay/Relay.module.php,52e7ef0d09080ecf1c1cb9588f5a3346
%d action in this view,%d veiksmas šiame kontekste,,site/modules/Relay/Relay.module.php,edbb5b851dc7c7fce80a4ae79765fee1
%d actions,%d veiksmai,,site/modules/Relay/Relay.module.php,b702ff44d2b2006bf4888afc027e438c
%d actions in this view,%d veiksmai šiuo požiūriu,,site/modules/Relay/Relay.module.php,72a81c2788218d02e54496f5ce5bf4e8
%d active lease,%d aktyvioji nuoma,,site/modules/Relay/Relay.module.php,45997a700e47aac122a2064ff6b91e91
%d active leases,%d aktyvioji nuoma,,site/modules/Relay/Relay.module.php,03bbefe07fc6b64dc91467fe2d693ba0
%d demo action loaded.,%d demo veiksmas įkeltas.,,site/modules/Relay/Relay.module.php,02d8eec5f9e44fd4ae56063d0cf25009
%d demo actions loaded.,Įkelti %d demo veiksmai.,,site/modules/Relay/Relay.module.php,4c230d7f1e07dc373ab85519552dec77
%d failed job,%d nepavyko užduotis,,site/modules/Relay/Relay.module.php,44def872a6aad957747b74cd20867980
%d failed jobs,%d nepavyko atlikti darbų,,site/modules/Relay/Relay.module.php,a0ddafd3319505d73b0891530663f509
%d session-only demo action. No schedule jobs or page states are changed.,"%d sesion- tik demo veiksmas. Nekeičiama nei darbo vietų tvarkaraštyje, nei puslapio būsenose.",,site/modules/Relay/Relay.module.php,b9df1d9878c0a28107069b73d2dcff88
%d session-only demo actions. No schedule jobs or page states are changed.,"%d sesion- tik demo veiksmai. Nekeičiama nei darbo vietų tvarkaraštyje, nei puslapio būsenose.",,site/modules/Relay/Relay.module.php,03ebae3d39cd1696b24b493d9db2d710
%d template,%d šablonas,,site/modules/Relay/Relay.module.php,2e97680673e9f48756601bd5672b0d45
%d templates,%d šablonai,,site/modules/Relay/Relay.module.php,f78cb52b393842a378dcbee7bd241ffe
%d upcoming action,Artėjantys veiksmai %d,,site/modules/Relay/Relay.module.php,2861365b8287f80b6b8c2d6fe56bd63e
%d upcoming actions,Būsimi veiksmai %d,,site/modules/Relay/Relay.module.php,b718159aca4e0e94ed8db2f051112718
%s (not installed),%s (neįdiegta),,site/modules/Relay/Relay.module.php,1307e7441c89b0828007900bfd3f2171
3 days,3 dienos,,site/modules/Relay/Relay.module.php,45fe0d3293152fa29cf10ef8a3c1871d
3-day calendar,3 dienų kalendorius,,site/modules/Relay/Relay.module.php,38e6af5f4884e28e44bb23d5f6af6677
Absolute path or a path relative to the ProcessWire root. Relay only generates the command; it never writes the system crontab.,"Absoliutus kelias arba kelias, susijęs su ProcessWire šaknimi. Relay sukuria tik komandą; jis niekada nerašo sistemos crontab.",,site/modules/Relay/Relay.module.php,220d13541eac933c9acfb78f07514d20
Access,Prieiga,,site/modules/Relay/Relay.module.php,bf733d8a933c1601697f364223fc7ecb
Action,Veiksmai,,site/modules/Relay/Relay.module.php,004bf6c9a40003140292e97330236c53
Actions,Veiksmai,,site/modules/Relay/Relay.module.php,06df33001c1d7187fdd81ea1f5b277aa
Actions in current view by status,Dabartiniai veiksmai pagal statusą,,site/modules/Relay/Relay.module.php,af64477cfee328730682df824f4f4527
Active,Aktyvus,,site/modules/Relay/Relay.module.php,4d3d769b812b6faa6b76e1a8abaece2d
Adds /relay-api/v1/ routes with session/CSRF or an explicitly rotated Bearer credential. CORS remains disabled.,Prideda /relay-api/v1/ maršrutus su sesija / CSRF arba aiškiai pasuko Bearer patikinimą. CORS išlieka išjungtas.,,site/modules/Relay/Relay.module.php,9b843d3fcc73feed1090d1cc97f93994
Adds a compact action/clock marker and local-time tooltip for users with relay-view.,Prideda kompaktišką veiksmo / laikrodžio žymeklį ir vietos laiko įrankių galiuką vartotojams su relay-view.,,site/modules/Relay/Relay.module.php,663e5ab2d43fd1eede404e7d7623588b
Adds a subtle weekend background in date-based calendar views. Disable it for a uniform grid.,Prideda subtilų savaitgalio foną duomenimis paremtuose kalendoriaus vaizduose. Išjunkite jį vienodam tinkleliui.,,site/modules/Relay/Relay.module.php,75d3e7a7bfcdde3525309af275c77048
AI planning proposals,PG planavimo pasiūlymai,,site/modules/Relay/Relay.module.php,ce74f68e998d966d107b0e413109aafd
"Alerts contain metadata, not editorial content","Perspėjimai turi metaduomenis, o ne redakcinį turinį",,site/modules/Relay/Relay.module.php,e2ff31dc656705e2b2d89110a4dac14c
All actions,Visi veiksmai,,site/modules/Relay/Relay.module.php,2701bbdc7ebed3bba6e85534149c85b1
All editable templates,Visi redaguojami šablonai,,site/modules/Relay/Relay.module.php,c4665cd5c7c6178de30de7f3c8056ba4
Allowed templates,Leistinos formos,,site/modules/Relay/Relay.module.php,309be34a512a2a051e6e43bb6da151b9
All statuses,Visos būsenos,,site/modules/Relay/Relay.module.php,96e3d398260724e0a83da53a2e9f20e7
All templates,Visi šablonai,,site/modules/Relay/Relay.module.php,d4e3a3afd7f0073d8b3967cf2995edc9
An action fails,Ieškinys nesėkmingas,,site/modules/Relay/Relay.module.php,c9987dc7822b8c86232ea7dac2a53950
An action is cancelled,Ieškinys atšaukiamas,,site/modules/Relay/Relay.module.php,d73a22447bf29c5c8b6ec10edb2ddf15
An action is rescheduled,Veiksmai perkeliami į kitą laikotarpį,,site/modules/Relay/Relay.module.php,de25faabb04cfecc9d35e31628b8fe76
An action is scheduled,Numatytas veiksmas,,site/modules/Relay/Relay.module.php,5c5c92a301f9adb4c09fd18daf4b2830
An editor can request an editable publication-time and note proposal. Nothing is scheduled and no page is changed automatically.,Redaktorius gali prašyti redaguojamo publikavimo laiko ir pastabų pasiūlymo. Nieko nėra suplanuota ir puslapis automatiškai nekeičiamas.,,site/modules/Relay/Relay.module.php,bf9d1f92b299ff2027159bb4ad01ee1c
Any action completes,Bet koks veiksmas užbaigiamas,,site/modules/Relay/Relay.module.php,4c1a63ec3b633e25dff8c7c0d954fdf8
A page is successfully published,Puslapis sėkmingai skelbiamas,,site/modules/Relay/Relay.module.php,f4fa1bf941f484b0acd75613e7fde479
API,API,,site/modules/Relay/Relay.module.php,db974238714ca8de634a7ce1d083a14f
API access,Prieiga prie API,,site/modules/Relay/Relay.module.php,333157a2df341277b8e5bf1ac7b9afd0
API keys and SMTP passwords remain in the selected WireMail provider. Relay sends operational page and job metadata only; a delivery failure never blocks a job state change.,API raktai ir SMTP slaptažodžiai lieka pasirinktame WireMail teikėjo. Relay siunčia operatyvinį puslapį ir darbo metaduomenis tik; pristatymo nesėkmė niekada blokuoja darbo valstybės pakeitimą.,,site/modules/Relay/Relay.module.php,335db0f60c195441bf768ffc9a695a42
Apply filters,Taikyti filtrus,,site/modules/Relay/Relay.module.php,79ee641715155ec7d121815215f2b70c
"A request triggers the check, not the clock","Prašymas paleidžia patikrinimą, o ne laikrodį",,site/modules/Relay/Relay.module.php,8b8b2dee506dea84460e65c8dac45ce2
A runtime credential is active; the saved token is not used.,Įtikinimas skrydžio laiku yra aktyvus; išsaugotas raktas nenaudojamas.,,site/modules/Relay/Relay.module.php,c4956cadc1053597ded6bac69c666e50
"A session-only demo sandbox. Create, reschedule, cancel, filter, and run test actions without writing schedule jobs or changing pages. Real jobs are hidden and workers are paused while enabled.","Sesijon- tik demo smėlio dėžė. Sukurti, recheadel, atšaukti, filtruoti, ir paleisti bandymo veiksmus be rašymo tvarkaraštį darbo vietų ar keisti puslapius. Tikras darbas yra paslėptas ir darbuotojai yra stabdomas, o įjungta.",,site/modules/Relay/Relay.module.php,e021fd243bfab1b74a65440ec0649a84
Assistance,Pagalba,,site/modules/Relay/Relay.module.php,1741ec6ed69cf571adac9eeb641c4f87
Authentication does not bypass permissions,Autentiškumo nustatymas neaplenkia leidimų,,site/modules/Relay/Relay.module.php,3105bd97f2e5366f5c658323e62a7d61
Available,Prieinama,,site/modules/Relay/Relay.module.php,78945de8de090e90045d299651a68a9b
Batch limit,Partijos riba,,site/modules/Relay/Relay.module.php,c434994f87d80496315aabb424d301ac
Bearer token,Bearer atpažinties raktas,,site/modules/Relay/Relay.module.php,25d95961a44037e555767a429cb7864e
Bounded filtered job list.,Nuskaičiuotas filtruotas užduočių sąrašas.,,site/modules/Relay/Relay.module.php,d28acff2ebaac2f03b246ad07ab890cb
Bounded filtered jobs.,Sujungtas filtruotas darbas.,,site/modules/Relay/Relay.module.php,a63e0c300eda884def8ac90cee995aee
"Bound execution, retry failed work, and configure the optional traffic-driven fallback.","Užblokuotas vykdymas, bandymas nepavykusiai veikti ir nustatyti pasirenkamą atsarginę kelio dalį.",,site/modules/Relay/Relay.module.php,1287ef14325adcd0c658131d23c85733
Browse pages,Naršyti puslapius,,site/modules/Relay/Relay.module.php,5e0b73696a62c55958548373ca1b8685
Build a server-ready crontab line from the detected paths and worker limits. This page never installs or executes it.,Sukurti servero paruoštą crontab liniją iš nustatytų kelių ir darbuotojų ribų. Šis puslapis niekada jį įdiegia ar vykdo.,,site/modules/Relay/Relay.module.php,c6716b8ef9880688b036ee21e2b24786
"Build the exact production worker command to review, copy, and install in the server scheduler.","Sukurti tikslią gamybos darbuotojas komandą peržiūrėti, kopijuoti, ir įdiegti serverio programuotojas.",,site/modules/Relay/Relay.module.php,3dc3e866979d8821bbbaf6c1593d8b46
Calendar,Kalendorius,,site/modules/Relay/Relay.module.php,8ff922bbcd8ad41cdfc48d3c5163b2ab
Calendar is clear,Kalendorius aiškus,,site/modules/Relay/Relay.module.php,97c3f628453fd7631afa4ff83e6cf353
Calendar range,Kalendoriaus intervalas,,site/modules/Relay/Relay.module.php,1421ce9923c5e5d1c1b17300282da3d1
Cancel,Atšaukti,,site/modules/Relay/Relay.module.php,ea4788705e6873b424c65e91c2846b19
Cancel action,Atšaukti veiksmą,,site/modules/Relay/Relay.module.php,1bf87e44da33943a3baad59edd51f4a0
Cancel a pending action.,Atšaukti laukiantį veiksmą.,,site/modules/Relay/Relay.module.php,b6d129c814ed58a2a5f019b6dbbf3cb5
Cancel editing,Nutraukti redagavimą,,site/modules/Relay/Relay.module.php,12c110ad1b37cf8db33fa1246ec4143d
Cancelled,Atšauktas,,site/modules/Relay/Relay.module.php,a149e85a44aeec9140e92733d9ed694e
Cancel pending job.,Atšaukti laukiantį darbą.,,site/modules/Relay/Relay.module.php,8bdd42c19fd7e9a544c6f8b007ab0bde
Cancel this scheduled action?,Atšaukti šį suplanuotą veiksmą?,,site/modules/Relay/Relay.module.php,a5ff052f361c36edf80cdd32fbd0d468
Cards are grouped by status; open any card for full details and actions.,Kortelės grupuojamos pagal statusą; atidaroma kortelė išsamiems duomenims ir veiksmams.,,site/modules/Relay/Relay.module.php,49a239f405913b1094ea1cbab8dce2b7
Channel and capability manifest.,Kanalo ir pajėgumų manifestas.,,site/modules/Relay/Relay.module.php,d424fe59c2ccbde6fc73ac9b8d3d9993
Channels and stable capabilities.,Kanalai ir stabilūs pajėgumai.,,site/modules/Relay/Relay.module.php,a0b7a50f9cffaa9bcbe43579ecb44fa0
