en,no,description,file,hash
%1$s on %2$s,%1$s på %2$s,,site/modules/Relay/Relay.module.php,9b8d8a252955b2de195c7fa72b7353cb
%d action,%d-handling,,site/modules/Relay/Relay.module.php,52e7ef0d09080ecf1c1cb9588f5a3346
%d action in this view,%d handling i denne visningen,,site/modules/Relay/Relay.module.php,edbb5b851dc7c7fce80a4ae79765fee1
%d actions,%d-handlinger,,site/modules/Relay/Relay.module.php,b702ff44d2b2006bf4888afc027e438c
%d actions in this view,%d handlinger i dette framsyninga,,site/modules/Relay/Relay.module.php,72a81c2788218d02e54496f5ce5bf4e8
%d active lease,%d aktiv leieavtale,,site/modules/Relay/Relay.module.php,45997a700e47aac122a2064ff6b91e91
%d active leases,%d aktive leieavtaler,,site/modules/Relay/Relay.module.php,03bbefe07fc6b64dc91467fe2d693ba0
%d demo action loaded.,%d demo handling lastet.,,site/modules/Relay/Relay.module.php,02d8eec5f9e44fd4ae56063d0cf25009
%d demo actions loaded.,%d demo handlinger lastet inn.,,site/modules/Relay/Relay.module.php,4c230d7f1e07dc373ab85519552dec77
%d failed job,%d mislykkes jobb,,site/modules/Relay/Relay.module.php,44def872a6aad957747b74cd20867980
%d failed jobs,%d mislykkes jobber,,site/modules/Relay/Relay.module.php,a0ddafd3319505d73b0891530663f509
%d session-only demo action. No schedule jobs or page states are changed.,%d sesjon-beskyttet demo-handling. Ingen timeplan jobber eller sidetilstander er endret.,,site/modules/Relay/Relay.module.php,b9df1d9878c0a28107069b73d2dcff88
%d session-only demo actions. No schedule jobs or page states are changed.,%d sesjon-beskyttede demohandlinger. Ingen timeplan jobber eller sidetilstander er endret.,,site/modules/Relay/Relay.module.php,03ebae3d39cd1696b24b493d9db2d710
%d template,%d-mal,,site/modules/Relay/Relay.module.php,2e97680673e9f48756601bd5672b0d45
%d templates,%d maler,,site/modules/Relay/Relay.module.php,f78cb52b393842a378dcbee7bd241ffe
%d upcoming action,%d kommende handling,,site/modules/Relay/Relay.module.php,2861365b8287f80b6b8c2d6fe56bd63e
